English,Transliteration,Hebrew
full (m.s.),male,מלא
to know,lada'at,לדעת
in the opinion of,leda'at,לדעת
stood / were about to / endured / succeeded / insisted on (pl.),amdu,עמדו
red (m.s.),adom,אדום
at his end / at its end,besofo,בסופו
the law,hakhok,החוק
the main,harashi,הראשי
effect / influence,hashpa'a,השפעה
the cinema,hakolnoa,הקולנוע
from the back / dorsal,gabi,גבי
at least,lefakhot,לפחות
desert,midbar,מדבר
state,medina,מדינה
how,keytsad,כיצד
the death of,mot,מות
the international (m.s.),habeynleumi,הבינלאומי
the weapon,haneshek,הנשק
in Hebrew,be'ivrit,בעברית
glory,hod,הוד
now,ka'et,כעת
of course / certainly,kamuvan,כמובן
something,mashehu,משהו
were killed,nehergu,נהרגו
the sides,hatsdadim,הצדדים
south,darom,דרום
in the south,badarom,בדרום
names,shemot,שמות
Book of Exodus (bible),shmot,שמות
food,okhel,אוכל
eat (m.s.),okhel,אוכל
I will eat,okhal,אוכל
I will be able,ukhal,אוכל
for,bishvil,בשביל
on the path,bashvil,בשביל
from there,misham,משם
spoken / said / agreed,medubar,מדובר
returned / repeated (m.s.),khozer,חזר
sources,mekorot,מקורות
what are (f.),mahen,מהן
except,milvad,מלבד
gave (m.s.),natan,נתן
matter / interest,inyan,עניין
importance,khashivut,חשיבות
shape of / form of,tsurat,צורת
the north,hatsafon,הצפון
the area / the region / the zone,ha'ezor,האזור
the main / the principal / the primary (m.pl.),ha'ikariym,העיקריים
the independence,ha'atsma'ut,העצמאות
was elected / was selected / the elected / the selected (m.s.),nivkhar,נבחר
in most of,berov,ברוב
and was (m.s.),vehaya,והיה
those,halalu,הללו
decided (m.s.),hekhlit,החליט
structures,mivnim,מבנים
his people,amo,עמו
with him,imo,עמו
to keep / to guard / to protect,lishmor,לשמור
approves / confirms (m.s.),me'asher,מאשר
women,nashim,נשים
in treatment,betipul,בטיפול
during the treatment,batipul,בטיפול
mocked / teased (m.s.),sanat,סנט
the government,hamimshal,הממשל
the journey,hamasa,המסע
criticism / inspection,bikoret,ביקורת
engineering,handasa,הנדסה
further,hal'a,הלאה
quite / rather,lemadai,למדי
the rain,hageshem,הגשם
in case / accidentally,bemikre,במקרה
the beach,hakhof,החוף
on the subject of,benose,בנושא
on the subject,banose,בנושא
the art,ha'omanut,האמנות
the treaties / the conventions,ha'amanot,האמנות
the spider (female),ha'akavisha,העכבישה
weeks / Shavuot (Jewish holiday),shavu'ot,שבועות
to perform / to execute,levatse'a,לבצע
to a place,lemakom,למקום
to the place,lamakom,למקום
aimed at,bematara,במטרה
west,ma'arav,מערב
the south,hadarom,הדרום
the middle (m.s.) / the median (m.s.) / the high school / the Mediterranean (sea),hatikhon,התיכון
journey,masa,מסע
here,kan,כאן
half,khetsi,חצי
on the island,ba'i,באי
on an island,be'i,באי
permanence / regularity,keva,קבע
career army,[tsva] keva,קבע
determined / fixed / set (m.s.),kava,קבע
law,khok,חוק
defense,hagana,הגנה
the blood,hadam,הדם
and in them (m.),uvahem,ובהם
the subject,hanose,הנושא
methods,shitot,שיטות
kinds of / classes of / types of,sugei,סוגי
psalms,tehilim,תהילים
that is on,she'al,שעל
step,sha'al,שעל
the glory / the fame,hatehila,התהילה
continued (pl.),himshikhu,המשיכו
factor / cause (m.s.),gorem,גורם
the residents of,toshvei,תושבי
the Christian (m.pl.),hanotsrim,הנוצרים
the gold,hazahav,הזהב
in areas,be'ezorim,באזורים
in the areas,ba'ezorim,באזורים
actually / spitefully,davka,דווקא
the sculpture,hapisul,הפיסול
the harbors,hanmalim,הנמלים
the ants,hanemalim,הנמלים
do / make (m.s.),ose,עושה
do / make (f.s.),osa,עושה
money,kesef,כסף
in the middle,ba'emtsa,באמצע
placed / put (f.s.),sama,שמה
there,shama,שמה
her name,shma,שמה
spits,yorek,יורק
street,rekhov,רחוב
created / made (m.s.),yatsar,יצר
the citizens,ha'ezrakhim,האזרחים
tower,migdal,מגדל
that are not / that are not here (m.pl.),she'einam,שאינם
the military (m.s.),hatsva'i,הצבאי
most of,marbit,מרבית
the song / the poem,hashir,השיר
tonight / the night,halaila,הלילה
voice / sound,kol,קול
and only,verak,ורק
spring,ma'ayan,מעין
in the war of,bemilkhemet,במלחמת
in the west,bama'arav,במערב
in the west of,bema'arav,במערב
to the west,ma'arava,מערבה
the program / the plan,hatokhnit,התוכנית
tea,te,תה
the old (m.s.),hazaken,הזקן
evening,erev,ערב
pleasant / surety,arev,ערב
eye / fountain / spring,ayin,עין
office / bureau / Ministry,misrad,משרד
since,me'akhar,מאחר
late (m.s.),me'akher,מאחר
at first / initially,batkhila,בתחילה
condition / provision,tnai,תנאי
conditions of / provisions of,tna'ei,תנאי
the soldiers,hakhayalim,החיילים
his father,aviv,אביו
the tie / the bond / the link / the connection,hakesher,הקשר
to war,lemilkhama,למלחמה
to [the] war,lamilkhama,למלחמה
frequently,tadir,תדיר
answered (m.s.),ana,ענה
easy / light weight (m.s.),kal,קל
good (f.s.) / favor,tova,טובה
the days,hayamim,הימים
to act / to operate,lif'ol,לפעול
building of (v.),bniyat,בניית
tongue / language,lashon,לשון
dozens [literally: tens],asarot,עשרות
dozens of [literally: tens of],asrot,עשרות
the western (m.s.),hama'aravi,המערבי
was built (m.),nivna,נבנה
is built / we will build,nivne,נבנה
the attack,hamitkafa,המתקפה
the central (m.s.),hamerkazi,המרכזי
badges / labels / tags,tagiyot,תגיות
really,be'emet,באמת
why,lama,למה
the prosecutor,hatove'a,התובע
next / the person who is coming (m.s.),haba,הבא
could (pl.),yakhlu,יכלו
of a kind / of a class / of a type,misug,מסוג
are found / are [at] (m.pl.),nimtsa'im,נמצאים
ball / pill,kadur,כדור
instructed (m.s.),hora,הורה
parent,hore,הורה
tried (m.s.),nisa,ניסה
the religion,hadat,הדת
occupation,kibush,כיבוש
into power / to/for the government,lashilton,לשלטון
to/for the power of / to/for the reign of,leshilton,לשלטון
her age / found out (m.s.) / joy,gila,גילה
note / mark / pointing out / grade,tsiyun,ציון
Zion,tsiyon,ציון
the creatures,hayetsurim,היצורים
ours,shelanu,שלנו
and a name,veshem,ושם
and there,vesham,ושם
the story,hasipur,הסיפור
fast / rapidly / quickly,bimhirut,במהירות
wild / son / -able / bar,bar,בר
young (m.pl.),tse'irim,צעירים
for the purpose of,letsorekh,לצורך
for treatment,letipul,לטיפול
for the treatment,latipul,לטיפול
team / staff,tsevet,צוות
meaning,mashma'ut,משמעות
places,mekomot,מקומות
the slavery,ha'avdut,העבדות
sensory,khushi,חושי
gate,sha'ar,שער
hair,se'ar,שער
the patients / the sick,hakholim,החולים
the good (m.s.),hatov,הטוב
to/in the direction of / for adjustment / for tuning,lekivun,לכיוון
in the direction / for the adjustment / for the tuning,lakivun,לכיוון
behind,me'akhorei,מאחורי
behind me,me'akhorai,מאחורי
medications / drugs,trufot,תרופות
specific (f.s.),mesuyemet,מסוימת
class (social) / status / scene / pedestal,ma'amad,מעמד
in the area / in the field / in the territory,bashetakh,בשטח
in an area,beshetakh,בשטח
won (f.s.),zakhta,זכתה
the research,hamekhkar,המחקר
and sometimes,ul'itim,ולעתים
the train,harakevet,הרכבת
assembly of,harkavat,הרכבת
the wind / the spirit / the ghost,haruakh,הרוח
to live,likhyot,לחיות
story,sipur,סיפור
to her,eleha,אליה
tail of a sheep [alya vekots ba: mixed blessing],alya,אליה
in the year,bashana,בשנה
in a year / per year,beshana,בשנה
he is / is (m.),hino,הינו
results / outcomes / consequences,totsa'ot,תוצאות
all of it (f.s.),kula,כולה
length / duration,orekh,אורך
spices,tavlinim,תבלינים
yours (m.s.),shelkha,שלך
yours (f.s.),shelakh,שלך
the hour / the time,hasha'a,השעה
hour / time,sha'a,שעה
to stand,la'amod,לעמוד
to page / [to/for] a pillar,le'amud,לעמוד
to the page / [to/for] the pillar,la'amud,לעמוד
the young (m.s.),hatsa'ir,הצעיר
and this (f.),vezot,וזאת
information,meyda,מידע
the public,hatsibur,הציבור
the siege,hamatsor,המצור
the command,hapikud,הפיקוד
north,tsafon,צפון
variety,migvan,מגוון
the temple / the shrine,hamikdash,המקדש
in relation / regarding / at a ratio,beyakhas,ביחס
used for / intended for (m.s.),meshamesh,משמש
shapes / forms,tsurot,צורות
stood / was about to / endured / succeeded / insisted on (f.s.),amda,עמדה
position,emda,עמדה
subject,nose,נושא
parts / smooth (m.pl.),khalakim,חלקים
the spices,hatavlinim,התבלינים
the death,hamavet,המוות
possible,yitakhen,ייתכן
detail / individual / except,prat,פרט
established / made someone stand,hekim,הקים
the workers,hapo'alim,הפועלים
the northern,hatsfoni,הצפוני
the southern,hadromi,הדרומי
you could,yakholta,יכולת
the devil,hashed,השד
the breast,hashad,השד
before,beterem,בטרם
the leg,haregel,הרגל
are not / are not here (f.pl.),einan,אינן
sharp / one / uni-,khad,חד
worker / operates (m.s.),po'el,פועל
verb,po'al,פועל
height of / level of,ramat,רמת
river,nahar,נהר
east,mizrakh,מזרח
the global / the universal (m.s.),ha'olami,העולמי
the Hebrew,ha'ivri,העברי
defeat,tvusa,תבוסת
at [time] / per hour / in an hour,besha'a,בשעה
in the hour,basha'a,בשעה
the intelligence,hatvuna,התבונה
forest,ya'ar,יער
fat (adj.) (m.s.),shamen,שמן
oil,shemen,שמן
their name (f),shman,שמן
details / individuals,pratim,פרטים
that is not / that is not here (m.s.),she'eino,שאינו
the main / the principal / the primary (m.s.),ha'ikari,העיקרי
in states,bimdinot,במדינות
in the states,bamedinot,במדינות
suddenly,pit'om,פתאום
method of,shitat,שיטת
won (pl.),zakhu,זכו
the political (f.s.),hapolitit,הפוליטית
sample / example,dugma,דוגמה
chapter / period / joint / dismantled (m.s.),perek,פרק
the words,hamilim,המילים
air,avir,אוויר
totally / completely,legamrei,לגמרי
the date,hata'arikh,התאריך
the need,hatsorekh,הצורך
creatures,yetsurim,יצורים
low / short (m.s.),namukh,נמוך
square / loaf,kikar,כיכר
close / relatives (f.pl.),krovot,קרובות
and of / and belongs to,veshel,ושל
the committee of / the commission of,va'adat,ועדת
that is possible,shenitan,שניתן
the difference / the variation / the variance (stat.),hashonut,השונות
the different / the various (f.pl.) / the miscelleneous,hashonot,השונות
warriors,lokhamim,לוחמים
in the shape of / in the form of,betsurat,בצורת
democracy,demokratya,דמוקרטיה
drove / used to (f.s.),nahaga,נהגה
to give,latet,לתת
sight / view / appearance / show (m.s.),mar'e,מראה
mirror,mar'a,מראה
the history,hahistoria,ההיסטוריה
is found / is [at] (f.s.),nimtset,נמצאת
political (f.s.),politit,פוליטית
military (m.s.),tsva'i,צבאי
obvious / evident (m.s.),nikar,ניכר
using (pl.),mishtamshim,משתמשים
the language / the lip,hasafa,השפה
in a desert,bemidbar,במדבר
in the desert,bamidbar,במדבר
described (m.s.),te'er,תיאר
nothing,klum,כלום
question,she'ela,שאלה
on the side,batsad,בצד
on the side of / on the [right/left],betsad,בצד
that all,shekol,שכל
new (f.pl.) / news,khadashot,חדשות
national (m.s.),le'umi,לאומי
capable (m.pl.),mesugalim,מסוגלים
experience / trial / attempt,nisayon,ניסיון
secondary,mishni,משני
authority / reign / government,shilton,שלטון
such as / as in the example of,kedugmat,כדוגמת
tried (pl.),nisu,ניסו
citizens,ezrakhim,אזרחים
received / accepted (pl.),kiblu,קיבלו
the wall,hakhoma,החומה
the communist (f.s.),hakomunistit,הקומוניסטית
descriptions,te'urim,תיאורים
the agency / the [Jewish] Agency,hasokhnut,הסוכנות
the hill,hatel,התל
mocked / joked (m.s.),hitel,התל
again,shenit,שנית
the small / the little (m.s.),hakatan,הקטן
like these / like those / such,ka'ele,כאלה
soul / spirit / life,nefesh,נפש
stands / is about to / endures / succeeds / insists on (m.s.),omed,עומד
my life,khayai,חיי
the life of,khayei,חיי
opened (m.s.) / Fatah,patakh,פתח
opening / aperture,petakh,פתח
the last (f.s.),ha'akhrona,האחרונה
fruit,pri,פרי
the building,habinyan,הבניין
from the aspect of,mibkhinat,מבחינת
to cause,ligrom,לגרום
created / made (pl.),yatsru,יצרו
we,anu,אנו
the album,ha'albom,האלבום
the illness / the disease,hamakhala,המחלה
description,te'ur,תיאור
the stomach,hakeyva,הקיבה
the system / / the editorial board,hama'arekhet,המערכת
big / large (f.pl.),gdolot,גדולות
the security / the confidence,habitakhon,הביטחון
to establish,lehakim,להקים
his book,sifro,ספרו
counted (pl.),safru,ספרו
kind / class / type,sug,סוג
the warriors of,lokhamei,לוחמי
my warriors,lokhamai,לוחמי
Mean / middle,emtsa'i,אמצעי
development,pituakh,פיתוח
I said,amarti,אמרתי
your kingship (m.s.),malkhutkha,מלכותך
your kingship (f.s.),malkhutekh,מלכותך
Your Majesty (m.s.),[hod] malkhutkha,מלכותך
Your Majesty (f.s.),hod malcutekh,מלכותך
the boy / the youngster,hana'ar,הנער
you (m.s.),otkha,אותך
you (f.s.),otakh,אותך
the leaves,ha'alim,העלים
hid / concealed (m.s.),he'elim,העלים
walked / went (m.s.),halakh,הלך
rising / climbing / immigrant (m.s.),ole,עולה
rising / climbing / immigrant (f.s.),ola,עולה
the people,ha'anashim,האנשים
capable (m.s.),mesugal,מסוגל
right / privilege,zkhut,זכות
his sons,banav,בניו
were found / were [at],nimtse'u,נמצאו
to/for a number,lemispar,למספר
to/for the number,lamispar,למספר
that/who arrived (pl.),shehigi'u,שהגיעו
site / location,atar,אתר
to/for a game,lemis'khak,למשחק
to/for the game,lamis'khak,למשחק
that in them (f.),shebahen,שבהן
gave judgment / decided / rules / stopped (m.s.),pasak,פסק
main point / essence,ikar,עיקר
style / manner,signon,סגנון
was born (m.s.),nolad,נולד
the warriors,halokhamim,הלוחמים
active,pa'il,פעיל
in his book,bsifro,בספרו
the authorities,hashiltonot,השלטונות
the Zionist (f.s.),hatsiyonit,הציונית
is described (f.s.),meto'eret,מתוארת
so / like this / thus,kakha,ככה
pretty / good (m.s.),yafe,יפה
pretty / good (f.s.),yafa,יפה
you will be (m.s.) / she will be,tihiye,תהיה
proposed / suggested / offered (m.s.),hetsi'a,הציע
About / in regards,benoge'a,בנוגע
to assist / to help,lesaye'a,לסייע
passed / crossed / went through (pl.),avru,עברו
were left,notru,נותרו
object / bone / essence / -self,etsem,עצם
the center,hamerkaz,המרכז
the station / the stop / the base,hatakhana,התחנה
in elections,bebkhirot,בבחירות
in the elections,babkhirot,בבחירות
included (f.s.),kalela,כללה
inverted / converted / turned / become / transformed (pl.),hafkhu,הפכו
for the use,lashimush,לשימוש
for use,leshimush,לשימוש
general (m.s.),klali,כללי
